Geographic Area Name,Estimate!!Percent!!Total population!!AGE!!Under 5 years,Estimate!!Percent!!Total population!!AGE!!5 to 9 years,Estimate!!Percent!!Total population!!AGE!!10 to 14 years,Estimate!!Percent!!Total population!!AGE!!15 to 19 years,Estimate!!Percent!!Total population!!AGE!!20 to 24 years,Estimate!!Percent!!Total population!!AGE!!25 to 29 years,Estimate!!Percent!!Total population!!AGE!!30 to 34 years,Estimate!!Percent!!Total population!!AGE!!35 to 39 years,Estimate!!Percent!!Total population!!AGE!!40 to 44 years,Estimate!!Percent!!Total population!!AGE!!45 to 49 years,Estimate!!Percent!!Total population!!AGE!!50 to 54 years,Estimate!!Percent!!Total population!!AGE!!55 to 59 years,Estimate!!Percent!!Total population!!AGE!!60 to 64 years,Estimate!!Percent!!Total population!!AGE!!65 to 69 years,Estimate!!Percent!!Total population!!AGE!!70 to 74 years,Estimate!!Percent!!Total population!!AGE!!75 to 79 years,Estimate!!Percent!!Total population!!AGE!!80 to 84 years,Estimate!!Percent!!Total population!!AGE!!85 years and over,Weighted avg age
Alabama,5.9,5.9,6.6,6.8,6.5,6.8,6.2,6,6.1,6.3,6.5,6.8,6.5,5.5,4.6,3.1,2,1.7,37.265
Alaska,7.1,7.1,6.7,6.6,6.7,8.5,7.5,7.3,5.9,5.8,6.4,6.4,6.2,5.1,3,1.7,1.1,1,34.115
Arizona,6.1,6.2,6.8,6.7,6.8,7.2,6.5,6.3,6,6,5.8,6,6.1,5.5,4.7,3.4,2.1,1.9,36.98
Arkansas,6.2,6.4,6.8,6.9,6.6,6.8,6.3,6.3,5.9,6.1,6.2,6.5,6.2,5.4,4.5,3.2,1.9,1.9,36.845
California,6.1,6.1,6.7,6.5,6.9,7.9,7.4,7,6.3,6.5,6.3,6.3,5.8,4.7,3.6,2.5,1.7,1.8,35.855
Colorado,5.9,6.2,6.4,6.5,6.6,7.9,7.8,7.1,6.6,6.5,6,6.4,6.1,5,3.8,2.3,1.5,1.5,35.9
Connecticut,5.1,5.4,6.3,6.8,6.7,6.2,6.3,6,5.9,6.6,7.3,7.3,7.1,5.2,4.4,3.1,2,2.5,38.565
Delaware,5.6,5.4,6.5,6.1,6.2,6.8,6.3,6.1,5.5,6,6.7,7.1,7,6.2,5,3.8,1.8,1.9,38.59
District of Columbia,6.5,4.7,4.8,5.3,7.5,11.7,11.5,9,6,5.6,5.2,5.2,4.7,3.7,3.3,2.3,1.4,1.6,34.655
Florida,5.3,5.3,5.8,5.8,5.9,6.7,6.3,6.2,5.9,6.3,6.5,6.8,6.6,6.1,5.2,3.9,2.6,2.6,39.595
Georgia,6.1,6.5,7,7.2,6.8,7.1,6.6,6.8,6.5,6.8,6.5,6.3,5.8,4.7,3.8,2.5,1.5,1.4,35.435
Hawaii,6.2,5.9,6,5.5,6.4,7.3,6.9,6.7,6.1,6,6,6.1,6.6,6,4.6,2.9,2.2,2.8,38.13
Idaho,6.5,7.1,7.4,7.2,6.6,6.7,6.3,6.3,6.2,5.9,5.6,6.4,5.9,5.5,4.1,3,1.6,1.7,35.68
Illinois,6,6,6.6,6.6,6.6,7.1,6.8,6.6,6.3,6.4,6.4,6.7,6.4,5,3.9,2.8,1.8,2,36.74
Indiana,6.2,6.4,6.7,6.9,7,6.8,6.2,6.5,5.8,6.2,6.3,6.7,6.4,5.2,3.9,2.8,1.8,1.9,36.31
Iowa,6.3,6.3,6.8,7,7,6.4,6.1,6.6,5.5,5.8,5.9,6.8,6.5,5.4,4.1,3,2.2,2.4,37.015
Kansas,6.4,6.5,7.2,7,7.2,6.6,6.3,6.4,5.9,5.8,5.9,6.5,6.3,5.4,3.7,2.7,1.9,2.2,36.105
Kentucky,6.1,6.3,6.4,6.5,6.7,6.9,6.1,6.3,6.1,6.4,6.5,6.8,6.6,5.5,4.3,2.9,2,1.8,37.19
Louisiana,6.5,6.4,6.8,6.6,6.6,7.1,6.8,6.8,5.8,6,6.2,6.5,6.4,5.4,3.9,2.8,1.8,1.6,36.18
Maine,4.7,5.1,5.4,5.8,5.5,6,6,6,5.5,6.3,7.1,7.9,8.1,6.9,5.3,3.4,2.3,2.6,40.75
Maryland,6,6,6.4,6.3,6.4,6.9,6.8,6.8,6,6.6,7,6.9,6.5,5,4,2.8,1.8,1.8,36.995
Massachusetts,5.2,5.4,5.7,6.6,7.1,7.3,7,6.3,5.9,6.4,6.9,7.1,6.5,5.3,4.2,2.8,1.9,2.2,37.75
Michigan,5.7,5.9,6.2,6.6,6.9,6.9,6,6,5.6,6.3,6.6,7,7,5.7,4.4,3.1,2,2,37.745
Minnesota,6.3,6.4,6.6,6.4,6.4,6.7,6.8,6.8,5.9,6,6.3,7.1,6.3,5.3,3.8,2.8,1.9,2.1,36.72
Mississippi,6,6.4,7.2,7.3,6.9,6.6,6,6.7,6,6,6.1,6.4,6.5,5.2,4.3,3,1.8,1.6,36.32
Missouri,6,6.1,6.5,6.4,6.6,6.9,6.5,6.4,5.7,6,6.2,6.8,6.7,5.3,4.4,3.1,2,2,37.14
Montana,5.8,5.8,6.4,6.3,6.4,6.5,6.1,6.5,5.6,5.6,5.8,6.8,7.5,6.5,4.9,3.5,2,2,38.365
Nebraska,6.8,6.7,7.1,6.9,6.9,6.6,6.7,6.8,5.8,5.7,5.6,6.4,6.2,5.3,3.7,2.6,2,2.2,35.88
Nevada,6.1,6.2,6.6,6,5.9,7.4,7.1,6.8,6.5,6.7,6.4,6.3,6.1,5.2,4.4,2.8,1.7,1.5,36.545
New Hampshire,4.6,5.1,5.7,6.8,6.3,6.3,6.1,5.9,5.6,6.6,7.4,8.2,7.5,6.1,4.7,3.1,1.9,2.3,39.55
New Jersey,5.8,5.8,6.4,6.2,6.2,6.5,6.4,6.6,6.3,6.7,7.1,7.1,6.6,5.1,4.1,2.9,1.9,2.2,37.655
New Mexico,5.7,6.1,7.2,6.8,6.6,6.7,6.6,6.5,5.7,5.7,5.8,6.5,6.5,5.8,4.7,3.1,2,1.9,37.115
New York,5.8,5.5,5.9,6.2,6.6,7.6,7.1,6.5,6,6.3,6.8,6.8,6.5,5.1,4.2,2.9,2,2.2,37.595
North Carolina,5.8,6,6.5,6.8,6.6,6.9,6.4,6.4,6.2,6.7,6.6,6.5,6.4,5.4,4.4,3,1.8,1.7,37.11
North Dakota,6.9,6.7,6.2,6.1,8.2,8.1,7.3,6.6,5.3,5.3,5.4,6.5,6,5,3.5,2.5,2,2.4,35.63
Ohio,5.9,5.9,6.4,6.6,6.4,6.8,6.3,6.2,5.8,6.3,6.5,7,6.8,5.6,4.2,3.1,2,2.1,37.59
Oklahoma,6.5,6.6,7.1,6.9,6.8,7.1,6.6,6.6,5.8,5.9,5.8,6.5,6,5.1,4.1,2.8,1.9,1.8,35.885
Oregon,5.5,5.7,6.1,6,6.3,7.2,7,6.9,6.4,6.4,6,6.4,6.6,6.2,4.5,3.1,2,1.9,38.01
Pennsylvania,5.5,5.5,6.1,6.4,6.3,6.8,6.5,6.1,5.6,6.3,6.7,7.2,7,5.8,4.5,3.3,2.3,2.4,38.75
Rhode Island,5.1,5.4,5.2,7.1,7.1,7.3,6.6,6.2,5.4,6.3,7,6.9,7.1,5.3,4.4,2.9,2.1,2.5,38.305
South Carolina,5.7,6,6.4,6.7,6.5,6.7,6.2,6.2,6,6.2,6.3,6.9,6.5,6,4.9,3.2,1.9,1.7,37.68
South Dakota,6.8,6.7,7,6.8,6.7,7,6.2,6.3,5.6,5.3,5.7,6.7,6.7,5.5,4.1,2.7,1.8,2.5,36.425
Tennessee,6,6.1,6.4,6.5,6.5,7.2,6.4,6.4,6.1,6.6,6.5,6.6,6.6,5.4,4.3,3,1.9,1.7,37.165
Texas,7,6.9,7.6,7.2,6.9,7.4,7.2,7.1,6.5,6.4,6,5.9,5.4,4.3,3.3,2.2,1.4,1.3,34.005
Utah,7.9,8.1,8.6,7.9,8.2,7.8,6.9,7.2,6.7,5.5,4.6,4.8,4.7,3.8,2.9,1.9,1.4,1.1,31.525
Vermont,4.6,5.1,5.4,6.7,6.9,6.2,5.8,5.9,5.3,6.1,6.8,7.5,7.8,6.9,5.2,3.5,2.1,2.1,39.82
Virginia,5.9,6,6.3,6.6,6.8,6.9,6.9,6.8,6.3,6.5,6.6,6.7,6.2,5.2,3.9,2.8,1.8,1.7,36.7
Washington,6.1,6.2,6.2,6,6.3,7.8,7.5,7.2,6.2,6.3,6.1,6.5,6.3,5.3,4.2,2.7,1.6,1.7,36.665
West Virginia,5.2,5.4,5.9,6.2,6.3,6,5.6,5.9,6.2,6.4,6.5,7.1,7.3,7.1,4.9,3.6,2.3,2.2,39.645
Wisconsin,5.7,5.9,6.4,6.5,6.8,6.4,6.3,6.5,5.7,6,6.7,7.2,7,5.7,4.2,2.9,2.1,2.1,37.81
Wyoming,6.1,6,7,7.1,5.7,6.7,6.6,6.8,5.7,5.8,5.9,6.6,7.2,6.2,4.1,3,1.8,1.6,36.98